Output Length, Input Length, NEON Cycles, C Cycles
34, 34, 99.907000, 110.959000
34, 68, 100.162000, 111.808000
34, 102, 100.644000, 112.087000
34, 136, 195.213000, 207.179000
34, 170, 196.206000, 208.404000
34, 204, 195.699000, 208.563000
34, 238, 197.879000, 210.526000
34, 272, 292.457000, 305.529000
34, 306, 291.432000, 306.502000
34, 340, 291.684000, 308.197000
34, 374, 292.220000, 307.776000
34, 408, 387.207000, 407.097000
34, 442, 387.567000, 406.424000
34, 476, 387.919000, 404.848000
34, 510, 388.471000, 406.031000
34, 544, 483.275000, 504.065000
34, 578, 483.622000, 505.278000
34, 612, 484.115000, 504.302000
34, 646, 484.605000, 506.613000
34, 680, 579.042000, 600.443000
34, 714, 580.228000, 600.782000
34, 748, 580.338000, 601.973000
34, 782, 581.757000, 602.269000
34, 816, 675.119000, 698.682000
34, 850, 675.180000, 699.800000
34, 884, 675.826000, 699.693000
34, 918, 676.026000, 702.899000
34, 952, 772.928000, 798.597000
34, 986, 774.115000, 800.368000
34, 1020, 773.525000, 802.919000
68, 34, 100.335000, 111.781000
68, 68, 100.518000, 111.445000
68, 102, 100.876000, 111.693000
68, 136, 195.741000, 207.472000
68, 170, 196.289000, 207.700000
68, 204, 197.140000, 208.417000
68, 238, 197.269000, 209.414000
68, 272, 291.721000, 315.364000
68, 306, 293.875000, 307.647000
68, 340, 298.717000, 312.563000
68, 374, 292.866000, 309.227000
68, 408, 386.807000, 408.094000
68, 442, 387.955000, 406.914000
68, 476, 388.362000, 407.483000
68, 510, 388.031000, 407.552000
68, 544, 484.733000, 505.552000
68, 578, 483.998000, 506.483000
68, 612, 485.724000, 506.542000
68, 646, 484.462000, 509.994000
68, 680, 579.059000, 604.585000
68, 714, 580.263000, 604.800000
68, 748, 580.153000, 604.611000
68, 782, 580.807000, 602.323000
68, 816, 675.216000, 698.919000
68, 850, 675.484000, 699.983000
68, 884, 677.231000, 701.100000
68, 918, 677.763000, 701.826000
68, 952, 774.500000, 802.360000
68, 986, 774.933000, 798.622000
