Output Length, Input Length, NEON Cycles, C Cycles
42, 42, 139.065000, 161.685000
42, 84, 142.006000, 142.308000
42, 126, 109.977000, 124.121000
42, 168, 210.727000, 218.063000
42, 210, 198.361000, 218.400000
42, 252, 198.545000, 218.528000
42, 294, 199.782000, 224.423000
42, 336, 294.846000, 315.557000
42, 378, 295.646000, 319.188000
42, 420, 296.075000, 319.010000
42, 462, 295.637000, 319.325000
42, 504, 390.567000, 415.613000
42, 546, 391.839000, 418.715000
42, 588, 390.937000, 417.908000
42, 630, 391.714000, 417.236000
42, 672, 487.056000, 514.164000
42, 714, 487.430000, 517.802000
42, 756, 488.111000, 517.145000
42, 798, 488.681000, 516.309000
42, 840, 583.322000, 613.943000
42, 882, 584.693000, 616.994000
42, 924, 586.947000, 616.513000
42, 966, 585.124000, 615.929000
42, 1008, 679.325000, 713.432000
84, 42, 101.972000, 117.389000
84, 84, 102.129000, 119.735000
84, 126, 102.832000, 118.240000
84, 168, 197.406000, 216.130000
84, 210, 197.964000, 217.281000
84, 252, 199.373000, 218.490000
84, 294, 199.016000, 217.889000
84, 336, 293.592000, 316.527000
84, 378, 294.182000, 318.445000
84, 420, 295.461000, 317.546000
84, 462, 295.955000, 319.072000
84, 504, 390.299000, 415.494000
84, 546, 390.484000, 418.389000
84, 588, 390.866000, 419.995000
84, 630, 393.795000, 417.963000
84, 672, 489.046000, 515.187000
84, 714, 487.744000, 516.142000
84, 756, 488.341000, 517.143000
84, 798, 488.694000, 517.601000
84, 840, 582.334000, 615.402000
84, 882, 584.712000, 617.205000
84, 924, 585.124000, 616.477000
84, 966, 585.102000, 616.467000
84, 1008, 679.431000, 713.561000
126, 42, 102.299000, 117.854000
126, 84, 102.410000, 117.910000
126, 126, 103.021000, 118.673000
126, 168, 197.366000, 216.686000
126, 210, 198.680000, 218.783000
126, 252, 199.465000, 217.904000
126, 294, 199.390000, 219.368000
126, 336, 294.186000, 316.319000
126, 378, 294.905000, 320.183000
126, 420, 294.964000, 319.334000
126, 462, 295.587000, 319.244000
126, 504, 390.953000, 415.243000
126, 546, 390.820000, 418.517000
126, 588, 391.704000, 417.902000
126, 630, 391.856000, 417.744000
126, 672, 487.095000, 514.668000
126, 714, 488.658000, 517.735000
126, 756, 488.011000, 518.741000
126, 798, 489.283000, 517.562000
126, 840, 585.301000, 614.376000
126, 882, 586.237000, 617.118000
126, 924, 584.621000, 616.361000
126, 966, 589.457000, 617.116000
126, 1008, 679.826000, 713.637000
168, 42, 100.862000, 115.168000
168, 84, 101.377000, 115.676000
168, 126, 101.619000, 115.678000
168, 168, 196.479000, 213.451000
168, 210, 196.711000, 215.821000
168, 252, 197.658000, 214.939000
168, 294, 197.796000, 216.374000
168, 336, 292.084000, 313.773000
168, 378, 292.954000, 316.491000
168, 420, 294.800000, 317.009000
168, 462, 294.569000, 315.284000
168, 504, 388.640000, 412.983000
168, 546, 389.789000, 415.718000
168, 588, 391.424000, 414.558000
168, 630, 390.281000, 415.391000
168, 672, 484.942000, 512.994000
168, 714, 487.011000, 514.753000
168, 756, 486.897000, 513.349000
168, 798, 487.318000, 514.467000
168, 840, 581.707000, 611.519000
168, 882, 581.872000, 613.612000
168, 924, 582.272000, 612.753000
168, 966, 582.960000, 613.805000
168, 1008, 677.362000, 711.249000
210, 42, 199.243000, 216.551000
210, 84, 198.892000, 216.168000
210, 126, 199.445000, 216.774000
210, 168, 294.724000, 313.462000
210, 210, 295.252000, 315.582000
210, 252, 295.436000, 315.554000
210, 294, 296.345000, 315.914000
210, 336, 390.725000, 413.446000
210, 378, 391.488000, 417.526000
210, 420, 391.347000, 416.272000
210, 462, 391.521000, 417.180000
210, 504, 486.976000, 514.091000
210, 546, 487.790000, 515.342000
210, 588, 487.649000, 515.480000
210, 630, 488.691000, 516.454000
210, 672, 584.017000, 613.577000
210, 714, 583.954000, 614.654000
210, 756, 584.273000, 612.513000
210, 798, 584.649000, 615.284000
210, 840, 678.733000, 711.542000
210, 882, 680.185000, 712.512000
210, 924, 679.571000, 711.474000
210, 966, 680.613000, 712.791000
210, 1008, 775.615000, 810.290000
252, 42, 197.656000, 213.852000
252, 84, 198.564000, 214.740000
252, 126, 198.549000, 214.736000
252, 168, 293.284000, 313.287000
252, 210, 293.503000, 314.121000
252, 252, 294.055000, 313.178000
252, 294, 294.870000, 313.654000
252, 336, 389.900000, 413.621000
252, 378, 389.891000, 414.590000
252, 420, 390.686000, 413.277000
252, 462, 392.616000, 414.155000
252, 504, 486.227000, 512.320000
252, 546, 487.529000, 519.058000
252, 588, 487.655000, 512.996000
252, 630, 487.147000, 515.240000
252, 672, 582.560000, 611.764000
252, 714, 583.510000, 612.793000
252, 756, 583.663000, 612.157000
252, 798, 584.658000, 613.961000
252, 840, 679.732000, 712.312000
252, 882, 679.855000, 712.642000
252, 924, 679.985000, 711.946000
252, 966, 680.454000, 712.388000
252, 1008, 775.142000, 810.408000
294, 42, 197.759000, 214.421000
294, 84, 198.554000, 214.950000
294, 126, 198.701000, 215.796000
294, 168, 293.170000, 313.510000
294, 210, 293.750000, 314.950000
294, 252, 294.120000, 313.776000
294, 294, 295.713000, 313.999000
294, 336, 390.045000, 413.780000
294, 378, 390.235000, 415.575000
294, 420, 390.276000, 415.081000
294, 462, 391.736000, 414.645000
294, 504, 485.639000, 513.874000
294, 546, 486.987000, 513.460000
294, 588, 487.882000, 514.047000
294, 630, 488.097000, 514.449000
294, 672, 582.023000, 612.551000
294, 714, 583.401000, 613.450000
294, 756, 583.610000, 613.263000
294, 798, 584.717000, 612.929000
294, 840, 678.232000, 711.400000
294, 882, 679.692000, 713.802000
294, 924, 680.282000, 713.083000
294, 966, 681.347000, 713.605000
294, 1008, 775.256000, 810.534000
336, 42, 198.560000, 213.979000
336, 84, 198.040000, 214.180000
336, 126, 200.171000, 215.414000
336, 168, 296.018000, 315.023000
336, 210, 297.991000, 315.809000
336, 252, 298.559000, 314.484000
