Output Length, Input Length, NEON Cycles, C Cycles
42, 42, 100.911933, 115.183165
42, 84, 101.011777, 115.489456
42, 126, 101.586985, 115.855043
42, 168, 196.115455, 214.183415
42, 210, 196.806407, 214.856484
42, 252, 197.232823, 215.498977
42, 294, 197.851811, 216.147297
42, 336, 292.350585, 315.052064
42, 378, 293.033727, 315.728618
42, 420, 293.530606, 315.996275
42, 462, 294.017933, 316.432868
42, 504, 388.542226, 414.194196
42, 546, 389.233591, 414.992750
42, 588, 389.699276, 415.234555
42, 630, 390.321544, 415.589552
42, 672, 485.323988, 513.539709
42, 714, 485.987827, 514.239153
42, 756, 486.475067, 514.452845
42, 798, 486.976111, 514.952853
42, 840, 581.606142, 612.797448
42, 882, 582.219693, 613.453264
42, 924, 582.631481, 613.730864
42, 966, 583.150300, 614.348255
42, 1008, 678.429269, 712.126744
84, 42, 100.817384, 114.713896
84, 84, 101.164222, 115.633291
84, 126, 101.824715, 115.377369
84, 168, 196.440924, 214.616456
84, 210, 197.099271, 215.731418
84, 252, 197.495468, 215.974708
84, 294, 198.023888, 216.340946
84, 336, 292.572112, 316.365011
84, 378, 293.197765, 317.034228
84, 420, 293.691820, 317.258277
84, 462, 294.278519, 317.773724
84, 504, 388.818258, 415.419348
84, 546, 389.525436, 416.151572
84, 588, 389.946855, 416.269946
84, 630, 390.614458, 416.833602
84, 672, 485.675749, 514.720616
84, 714, 486.230943, 515.488318
84, 756, 486.621189, 515.548680
84, 798, 487.295162, 516.156761
84, 840, 581.863061, 613.970877
84, 882, 582.431075, 614.704352
84, 924, 582.905949, 614.929868
84, 966, 583.599281, 615.362292
84, 1008, 677.996669, 713.359044
126, 42, 101.242987, 115.289332
126, 84, 101.554309, 116.250035
126, 126, 102.211299, 115.915198
126, 168, 196.713846, 214.989279
126, 210, 197.412858, 216.294677
126, 252, 197.908844, 216.516366
126, 294, 198.486334, 216.895488
126, 336, 292.886365, 316.910036
126, 378, 293.650921, 317.582856
126, 420, 294.037406, 316.749997
126, 462, 294.619604, 318.319679
126, 504, 389.122939, 416.049631
126, 546, 389.881998, 416.782455
126, 588, 390.383061, 415.936831
126, 630, 390.823015, 417.342699
126, 672, 485.931701, 515.331820
126, 714, 486.551178, 516.042567
126, 756, 487.021641, 515.130187
126, 798, 487.619905, 516.627919
126, 840, 582.114930, 614.659708
126, 882, 583.193408, 615.439500
126, 924, 583.226860, 614.473664
126, 966, 583.820198, 616.072872
126, 1008, 678.389149, 713.991076
168, 42, 100.737271, 114.273300
168, 84, 101.201854, 114.471685
168, 126, 101.670745, 114.866263
168, 168, 196.389698, 212.775687
168, 210, 197.008625, 214.135178
168, 252, 197.503802, 214.309445
168, 294, 198.062475, 214.836638
168, 336, 292.533887, 313.754455
168, 378, 293.244002, 315.005422
168, 420, 293.669356, 314.665034
168, 462, 294.357867, 315.149866
168, 504, 388.839880, 412.886212
168, 546, 389.544040, 413.601686
168, 588, 390.012776, 413.865779
168, 630, 390.550911, 414.310073
168, 672, 485.473569, 512.207811
168, 714, 486.193496, 512.835385
168, 756, 486.540318, 513.099166
168, 798, 487.246364, 513.528509
168, 840, 581.740342, 611.506284
168, 882, 582.380165, 612.237655
168, 924, 582.839751, 612.351980
168, 966, 583.425091, 612.816606
168, 1008, 677.874826, 710.736189
210, 42, 197.487680, 213.815751
210, 84, 197.904696, 214.065778
210, 126, 198.526047, 214.959802
210, 168, 293.106523, 312.554427
210, 210, 293.730428, 313.652058
210, 252, 294.196317, 314.485046
210, 294, 294.828132, 314.278494
210, 336, 389.321620, 413.213702
210, 378, 389.939948, 413.959123
210, 420, 390.391211, 414.227052
210, 462, 391.039765, 414.621053
210, 504, 485.551194, 512.375046
210, 546, 486.179410, 513.059453
210, 588, 486.607821, 513.434719
210, 630, 487.220974, 513.734852
210, 672, 582.138285, 611.656414
210, 714, 582.952421, 612.389013
210, 756, 583.382957, 612.733592
210, 798, 583.987007, 613.140353
210, 840, 678.418091, 711.020117
210, 882, 679.349441, 711.662777
210, 924, 679.637881, 711.947252
210, 966, 680.261294, 712.447590
210, 1008, 774.690854, 810.314050
252, 42, 197.718638, 213.981901
252, 84, 198.167017, 214.800011
252, 126, 198.747385, 214.630568
252, 168, 293.280212, 312.373918
252, 210, 294.060619, 313.147115
252, 252, 294.423462, 313.612048
252, 294, 295.052639, 313.800169
252, 336, 389.545715, 414.559827
252, 378, 390.130471, 415.193034
252, 420, 390.670997, 415.418183
252, 462, 391.250112, 415.948367
252, 504, 485.758826, 513.646229
252, 546, 486.469797, 514.340510
252, 588, 486.886615, 514.416961
252, 630, 487.457532, 514.982500
252, 672, 582.551762, 612.883008
252, 714, 583.100923, 613.622675
252, 756, 583.586593, 613.753851
252, 798, 584.270120, 614.338129
252, 840, 678.687988, 712.093782
252, 882, 679.376939, 712.947315
252, 924, 679.856435, 713.042550
252, 966, 680.410312, 713.523373
252, 1008, 774.938821, 811.386828
294, 42, 198.182503, 214.566114
294, 84, 198.536209, 215.320856
294, 126, 199.188890, 215.183618
294, 168, 293.731757, 313.529093
294, 210, 294.370953, 314.388451
294, 252, 294.841020, 314.528847
294, 294, 295.452157, 314.998831
294, 336, 389.878069, 415.075141
294, 378, 390.574232, 415.851552
294, 420, 391.035654, 415.009971
294, 462, 391.623161, 416.500232
294, 504, 486.182190, 514.205826
294, 546, 486.894172, 514.943312
294, 588, 487.298840, 514.070593
294, 630, 487.879758, 515.474349
294, 672, 582.853826, 613.550497
294, 714, 583.586856, 616.063622
294, 756, 585.588959, 615.440051
294, 798, 586.637540, 615.348785
294, 840, 682.956751, 714.479888
294, 882, 682.440039, 716.627364
294, 924, 684.034913, 715.967024
294, 966, 683.623608, 716.259782
294, 1008, 776.093264, 825.328241
336, 42, 207.812909, 222.746214
336, 84, 201.697059, 216.818131
336, 126, 199.642685, 217.006123
336, 168, 295.208598, 315.741199
336, 210, 295.942922, 316.310843
336, 252, 297.043661, 316.640467
336, 294, 296.905158, 317.812067
336, 336, 392.729194, 416.655449
336, 378, 397.631242, 424.260170
336, 420, 393.479946, 415.411781
336, 462, 394.236559, 418.719680
336, 504, 490.239292, 513.949337
336, 546, 486.855407, 514.407128
336, 588, 488.833155, 526.220226
336, 630, 502.901177, 523.075013
336, 672, 599.526394, 632.518247
336, 714, 598.576868, 633.347410
336, 756, 597.609258, 628.201417
336, 798, 594.472485, 631.249041
336, 840, 691.631374, 729.522674
336, 882, 692.505685, 727.872685
336, 924, 694.676018, 725.159571
336, 966, 684.050285, 723.176525
336, 1008, 788.645574, 829.713431
378, 42, 299.095425, 324.425462
378, 84, 304.155949, 317.734961
378, 126, 298.817319, 319.457216
378, 168, 393.027119, 419.159329
378, 210, 398.120855, 418.231360
378, 252, 400.696078, 427.787686
378, 294, 398.493141, 414.108981
378, 336, 486.796346, 512.401371
378, 378, 486.745323, 513.142881
378, 420, 487.133219, 513.671482
378, 462, 487.851730, 513.826342
378, 504, 583.143907, 611.488784
378, 546, 583.010554, 612.323444
378, 588, 583.502854, 612.534197
378, 630, 584.024697, 612.901630
378, 672, 679.908308, 710.866540
378, 714, 679.762261, 711.424722
378, 756, 680.125336, 711.901637
378, 798, 680.760360, 712.271447
378, 840, 775.944739, 810.139956
378, 882, 775.929520, 810.763932
378, 924, 776.416467, 811.157266
378, 966, 777.085971, 811.528116
